10046,Queen,g,,We Will Rock You,eu,0,1,欧美,,ktv_10046.ogg,ktv_10046.midi,81.25,0,5,17,25,37,42,0,124,2
11301,RTA,g,,you are mine,cn,0,1,,,ktv_11301.ogg,ktv_11301.midi,140.007,2205,2,26,44,64,80,0,139,2
17768,S.H.E.,g,,不做你的朋友,tw,0,,,,ktv_17768.ogg,ktv_17768.midi,75.99,948,4,16,27,39,68,0,228,3
10054,S.H.E.,g,,花都开好了,tw,0,0,华研,,ktv_10054.ogg,ktv_10054.midi,149.94,0,12,36,60,84,142,0,227,2
10074,The Beatles,g,,Hey Jude ,eu,0,0,欧美,,ktv_10074.ogg,ktv_10074.midi,74.574,0,1,30,50,64,107,0,343,2
10088,阿牛,m,,桃花朵朵开,other,0,0,滚石,,ktv_10088.ogg,ktv_10088.midi,127.99,9404,14,31,63,80,110,0,216,2
17806,陈小春,m,,O932,hk,0,,,,ktv_17806.ogg,ktv_17806.midi,57.515,893,1,13,25,33,57,1,242,2
10173,戴佩妮,f,,防空洞,tw,0,0,种子,,ktv_10173.ogg,ktv_10173.midi,89.96,0,15,32,56,72,108,1,287,2
10179,邓丽君,f,,路边的野花不要采,tw,0,1,宝丽金,,ktv_10179.ogg,ktv_10179.midi,122.25,55,8,21,33,46,64,0,122,2
17563,高进,m,,别想她,cn,0,0,,,ktv_17563.ogg,ktv_17563.midi,62,2491,4,13,26,34,51,0,226,2
15399,古巨基,m,,情歌王,hk,0,1,,,ktv_15399.ogg,ktv_15399.midi,67.835,0,5,36,84,144,211,0,754,2
17842,何洁,f,,请不要对我说Sorry,cn,0,,,,ktv_17842.ogg,ktv_17842.midi,68.015,1657,8,29,45,61,94,0,343,2
10282,贾世骏,m,,打靶归来,cn,0,1,,,ktv_10282.ogg,ktv_10282.midi,119.08,986,11,27,49,65,89,0,138,2
10220,梁静茹,f,,听不到,other,0,0,,,ktv_10220.ogg,ktv_10220.midi,130.01,1009,10,36,54,98,129,1,239,2
