aideshuangchongmoli,1,0.000,15.000
aideshuangchongmoli,0,15.500,27.500
aideshuangchongmoli,0,28.000,40.700
aideshuangchongmoli,0,40.700,56.400
aideshuangchongmoli,0,56.400,72.000
aideshuangchongmoli,1,72.000,83.800
aideshuangchongmoli,1,141.000,152.000
aideshuangchongmoli,0,152.000,166.000
aideshuangchongmoli,0,166.000,181.000
aiyaaiya,1,0.000,25.300
aiyaaiya,0,25.300,49.500
aiyaaiya,0,49.500,62.000
aiyaaiya,0,62.000,74.600
aiyaaiya,0,74.600,87.300
aiyaaiya,0,106.700,118.800
aiyaaiya,1,200.500,209.000
aiyaaiya,1,215.400,225.000
tiantianquan,1,0.000,16.000
tiantianquan,0,16.000,32.400
tiantianquan,0,32.000,49.200
tiantianquan,0,49.200,65.500
tiantianquan,0,65.500,82.200
tiantianquan,0,82.200,97.400
xiancaomi,1,0.000,14.800
xiancaomi,1,14.800,24.600
xiancaomi,0,24.600,35.400
xiancaomi,0,35.400,44.800
xiancaomi,0,46.400,44.800
xiancaomi,0,44.800,56.700
xiancaomi,0,56.700,66.700
xiancaomi,1,66.700,72.400
xiancaomi,1,128.400,140.300
nideweixiao,1,22.900,38.000
nideweixiao,0,22.900,38.000
nideweixiao,0,38.000,45.800
nideweixiao,0,45.800,53.700
nideweixiao,0,53.700,61.300
nideweixiao,0,61.300,69.200
nideweixiao,0,69.200,76.650
nideweixiao,0,77.300,84.700
nideweixiao,0,84.700,92.250
nideweixiao,0,92.800,101.600
nideweixiao,0,193.700,202.600
nideweixiao,0,203.100,210.400
nideweixiao,1,228.500,246.000
liuxingyu,1,3.000,24.000
liuxingyu,0,24.000,38.200
liuxingyu,0,38.200,51.900
liuxingyu,0,51.900,67.200
liuxingyu,0,67.200,78.600
liuxingyu,0,81.400,94.700
liuxingyu,1,168.600,182.700
liuxingyu,0,182.700,196.800
liuxingyu,0,253.500,260.000
zhongguohua_2,0,47.550,56.800
zhongguohua_2,0,56.800,56.800
zhongguohua_2,0,56.800,69.500
haoqishasimao,1,0.000,21.600
haoqishasimao,0,36.400,51.600
haoqishasimao,0,51.600,67.500
haoqishasimao,0,126.300,140.800
haoqishasimao,1,140.800,154.500
jianchidaodi,1,3.500,33.000
jianchidaodi,0,33.000,49.000
jianchidaodi,0,49.000,66.300
jianchidaodi,0,66.300,74.600
jianchidaodi,0,76.700,86.500
jianchidaodi,0,92.000,104.400
jianchidaodi,0,166.300,182.800
duzhanshenhua,1,0.000,17.600
duzhanshenhua,0,17.600,33.100
duzhanshenhua,0,33.100,47.300
duzhanshenhua,0,47.300,59.000
duzhanshenhua,0,59.000,77.600
duzhanshenhua,0,77.600,95.000
jishishengxiao,1,0.000,10.400
jishishengxiao,0,10.400,20.700
jishishengxiao,0,20.700,31.100
jishishengxiao,0,31.100,41.600
jishishengxiao,0,41.600,52.000
jishishengxiao,0,52.000,62.500
jishishengxiao,0,62.500,75.000
jishishengxiao,0,138.800,149.200
jishishengxiao,0,149.200,158.800
jishishengxiao,0,161.800,172.200
ribuluo_2,1,3.500,24.500
ribuluo_2,0,24.500,32.300
ribuluo_2,0,32.300,39.000
ribuluo_2,0,39.000,47.500
ribuluo_2,0,47.500,54.000
ribuluo_2,0,54.000,69.900
ribuluo_2,0,69.900,77.500
ribuluo_2,0,77.500,85.200
ribuluo_2,0,85.200,99.000
ribuluo_2,0,182.400,189.000
shuoaini
tewuj
xiaoshangkou
zhengyizhiyanbiyizhiyan
fengqishixiangni
aijiuaile
lvxingdeyiyi
nidebeibao
duideren
buxiangzhangda
kebukeyibuyonggan
zuichudemengxiang
hetangyuese
wodehaoxiongdi
kunminghu
geiwoyigebushangxindeliyou
ainibushiliangsantian
dangni
yiqiannianyihou_2
nidaodiaishui
gaibianziji
nibushizhenzhengdekuaile
zhuzhige
chongdong
