26-仙草蜜 - BY2,-2.425,xiancaomi
38-流星雨 - F4,0.500,liuxingyu
47-中国话 - S.H.E,-11.654,zhongguohua
83-坚持到底 - 阿杜,0.0,jianzhidaoding
105-单身公害 - 蔡依林,-2.008,danshengonghai
133-风起时想你 - 陈楚生,-3.000,fengqishixiangni
146-旅行的意义 - 陈绮贞,0.109,lvxingdeyiyi
178-不想长大 - S.H.E (1),-2.320,buxiangzhangda
195-黑白配 - 范玮琪,-2.600,heibaipei
201-最初的梦想 - 范玮琪,-2.415,zuichudemengxiang
212-故乡的云 - 费翔,-1.684,guxiangdeyun
214-荷塘月色 - 凤凰传奇,-1.000,fenghuangchuanqi
220-我的好兄弟 - 高进,-1.621,wodehaoxiongdi
229-三国恋 - Tank (1),-0.153,sanguolian
243-昆明湖 - 后弦,-0.226,kunminghu
246-给我一个不伤心的理由 - 胡力,-2.400,geiwoyigebushangxindeliyou
253-皇帝 - 胡彦斌,1.229,huangdi
296-星月神话 - 金莎,-2.879,xingyueshenhua
297-最后一个夏天 - 金莎,-0.913,zuihouyigexiatian
323-梨花香 - 李宇春,-1.750,lihuaxiang
324-少年中国 - 李宇春 (1),-3.140,shaonianzhongguo
384-一千年以后 - 林俊杰,-3.834,yiqiannianyihou
385-一眼万年 - 林俊杰,-14.900,yiyangwannian
427-你到底爱谁 - 刘嘉亮,-2.383,nidaodiaishui
586-爱的就是你 - 王力宏,11.031,aidejiushini
594-改变自己 - 王力宏,-1.000,gaibianziji
600-龙的传人 - 王力宏,-1.804,longdechuanren
604-心中的日月 - 王力宏,-2.515,xinzhongderiyue
674-猪之歌 - 香香,1.000,zhizhige
687-表白 - 萧亚轩 (1),-1.450,biaobai
688-冲动 - 萧亚轩 (1),-4.421,chongdong
967-香水百合 - 张韶涵 (1),-1.370,xiangshuibaihe
