20.384353741,我
20.678344671,走
21.267346939,在
22.737346939,荒
23.031360544,凉
23.325351474,的
23.619342404,沙
23.914353741,漠
25.090362812,我
25.384353741,躲
25.972358277,在
27.443356009,无
27.737346939,人
28.031360544,的
28.325351474,角
28.619342404,落
29.796349206,我
30.090362812,听
30.678344671,见
32.149342404,缥
32.443356009,缈
32.737346939,的
33.031360544,传
33.325351474,说
35.090362812,是
35.384353741,谁
35.678344671,在
35.972358277,飞
36.267346939,扬
36.561360544,自
36.855351474,由
37.149342404,的
37.443356009,歌
39.208344671,风
39.502358277,吹
40.090362812,过
41.561360544,漫
41.855351474,天
42.149342404,的
42.443356009,寂
42.884353741,寞
43.914353741,爱
44.208344671,枯
44.796349206,干
46.266349206,枯
46.561360544,萎
46.855351474,的
47.149342404,花
47.443356009,朵
48.619342404,我
48.914353741,祈
49.502358277,祷
50.972358277,不
51.266349206,变
51.561360544,的
51.855351474,承
52.149342404,诺
53.914353741,是
54.208344671,谁
54.502358277,在
54.796349206,安
55.090362812,慰
55.384353741,心
55.678344671,中
55.972358277,饥
56.266349206,渴
77.149342404,我
77.443356009,要
77.737346939,向
78.325351474,前
78.914353741,飞
79.502358277,我
79.796349206,是
80.090362812,等
80.384353741,爱
80.678344671,的
80.972358277,玫
81.266349206,瑰
82.443356009,心
83.031360544,中
83.619342404,潜
84.208344671,藏
84.502358277,着
84.796349206,待
85.090362812,放
85.384353741,的
85.678344671,花
85.972358277,蕾
87.149342404,如
87.737346939,果
88.325351474,你
88.914353741,给
89.208344671,我
89.502358277,真
89.796349206,实
90.090362812,的
90.384353741,安
90.678344671,慰
91.855351474,我
92.149342404,愿
92.443356009,为
92.737346939,你
93.031360544,展
93.325351474,现
93.619342404,我
93.914353741,的
94.208344671,美
95.972358277,曾
96.266349206,经
96.561360544,被
97.149342404,风
97.737346939,吹
98.325351474,我
98.619342404,是
98.914353741,受
99.208344671,伤
99.502358277,的
99.796349206,玫
100.090362812,瑰
101.266349206,眼
101.855351474,中
102.443356009,深
103.031360544,埋
103.325351474,着
103.619342404,滚
103.914353741,烫
104.208344671,的
104.502358277,泪
104.796349206,水
105.972358277,尘
106.561360544,世
107.149342404,中
107.737346939,太
108.031360544,多
108.325351474,虚
108.619342404,幻
108.914353741,的
109.208344671,安
109.502358277,慰
110.678344671,完
110.972358277,美
111.266349206,背
111.561360544,后
111.855351474,看
112.149342404,见
112.443356009,了
112.737346939,心
113.031360544,碎
115.387755102,New Point
115.987755102,New Point
116.571428571,New Point
116.697959184,New Point
117.000000000,New Point
117.159183673,New Point
117.448979592,New Point
117.734693878,New Point
118.326530612,New Point
118.910204082,New Point
119.044897959,New Point
119.351020408,New Point
119.493877551,New Point
119.820408163,New Point
120.391836735,New Point
120.546938776,New Point
120.689795918,New Point
120.983673469,New Point
121.281632653,New Point
121.571428571,New Point
121.730612245,New Point
122.151020408,New Point
122.453061224,New Point
122.738775510,New Point
123.048979592,New Point
123.322448980,New Point
123.612244898,New Point
124.804081633,New Point
125.097959184,New Point
125.387755102,New Point
125.693877551,New Point
127.130612245,New Point
127.428571429,New Point
127.746938776,New Point
128.040816327,New Point
129.220408163,New Point
129.346938776,New Point
129.497959184,New Point
129.812244898,New Point
130.106122449,New Point
130.383673469,New Point
130.689795918,New Point
131.122448980,New Point
131.567346939,New Point
131.861224490,New Point
